,name,x,y
0,Mombetsu,142.00801180716064,42.53760022904322
1,Tokyo,139.4860812868083,35.66254653064314
2,Hanshin,135.36121312754145,34.77914388048496
3,Kyoto,135.7248113465816,34.907188647561895
4,Nakayama,139.95999601743662,35.725198561694846
5,Chukyo,136.99208269317566,35.06603236491706
6,Sapporo,141.325130410681,43.07802424705018
7,NAGOYA,136.78347255748443,35.053164408622756
8,Hakodate,140.77599358363787,41.78361577367854
9,Kokura,130.87584902440025,33.84488244159307
10,Niigata,139.1838101332008,37.949180519264424
11,Fukushima,140.4802931871703,37.765457167516345
12,Kanazawa,136.6748208524498,36.636572136368486
13,Ohi,139.74085860301082,35.59228985016923
14,Urawa,139.67011395641606,35.85698348321334
15,Funabashi,139.9956834373744,35.6864274850771
16,Kawasaki,139.7092066122278,35.53361955166453
17,Morioka,141.21930774306958,39.69269670620163
